# DUT syndromes (J=22) at t=225000
j=1 : 386,0x182
j=2 : 922,0x39a
j=3 : 734,0x2de
j=4 : 88,0x058
j=5 : 501,0x1f5
j=6 : 641,0x281
j=7 : 243,0x0f3
j=8 : 252,0x0fc
j=9 : 959,0x3bf
j=10 : 121,0x079
j=11 : 461,0x1cd
j=12 : 336,0x150
j=13 : 218,0x0da
j=14 : 94,0x05e
j=15 : 526,0x20e
j=16 : 165,0x0a5
j=17 : 3,0x003
j=18 : 999,0x3e7
j=19 : 260,0x104
j=20 : 392,0x188
j=21 : 2,0x002
j=22 : 347,0x15b

