# DUT syndromes (J=22) at t=225000
j=1 : 772,0x304
j=2 : 566,0x236
j=3 : 531,0x213
j=4 : 114,0x072
j=5 : 901,0x385
j=6 : 348,0x15c
j=7 : 122,0x07a
j=8 : 83,0x053
j=9 : 663,0x297
j=10 : 140,0x08c
j=11 : 823,0x337
j=12 : 798,0x31e
j=13 : 890,0x37a
j=14 : 370,0x172
j=15 : 914,0x392
j=16 : 179,0x0b3
j=17 : 751,0x2ef
j=18 : 125,0x07d
j=19 : 621,0x26d
j=20 : 956,0x3bc
j=21 : 749,0x2ed
j=22 : 867,0x363

