# DUT syndromes (J=22) at t=225000
j=1 : 611,0x263
j=2 : 443,0x1bb
j=3 : 118,0x076
j=4 : 605,0x25d
j=5 : 723,0x2d3
j=6 : 758,0x2f6
j=7 : 524,0x20c
j=8 : 377,0x179
j=9 : 957,0x3bd
j=10 : 412,0x19c
j=11 : 99,0x063
j=12 : 134,0x086
j=13 : 658,0x292
j=14 : 579,0x243
j=15 : 261,0x105
j=16 : 911,0x38f
j=17 : 40,0x028
j=18 : 189,0x0bd
j=19 : 50,0x032
j=20 : 2,0x002
j=21 : 681,0x2a9
j=22 : 626,0x272

