# DUT syndromes (J=22) at t=225000
j=1 : 519,0x207
j=2 : 279,0x117
j=3 : 945,0x3b1
j=4 : 366,0x16e
j=5 : 624,0x270
j=6 : 741,0x2e5
j=7 : 630,0x276
j=8 : 772,0x304
j=9 : 768,0x300
j=10 : 278,0x116
j=11 : 916,0x394
j=12 : 704,0x2c0
j=13 : 680,0x2a8
j=14 : 259,0x103
j=15 : 288,0x120
j=16 : 665,0x299
j=17 : 941,0x3ad
j=18 : 807,0x327
j=19 : 82,0x052
j=20 : 60,0x03c
j=21 : 82,0x052
j=22 : 771,0x303

