# DUT syndromes (J=22) at t=225000
j=1 : 533,0x215
j=2 : 650,0x28a
j=3 : 426,0x1aa
j=4 : 358,0x166
j=5 : 151,0x097
j=6 : 136,0x088
j=7 : 549,0x225
j=8 : 507,0x1fb
j=9 : 958,0x3be
j=10 : 794,0x31a
j=11 : 152,0x098
j=12 : 863,0x35f
j=13 : 580,0x244
j=14 : 824,0x338
j=15 : 634,0x27a
j=16 : 98,0x062
j=17 : 955,0x3bb
j=18 : 886,0x376
j=19 : 491,0x1eb
j=20 : 350,0x15e
j=21 : 501,0x1f5
j=22 : 226,0x0e2

