# DUT syndromes (J=22) at t=225000
j=1 : 627,0x273
j=2 : 443,0x1bb
j=3 : 56,0x038
j=4 : 816,0x330
j=5 : 615,0x267
j=6 : 502,0x1f6
j=7 : 358,0x166
j=8 : 866,0x362
j=9 : 1013,0x3f5
j=10 : 872,0x368
j=11 : 613,0x265
j=12 : 48,0x030
j=13 : 667,0x29b
j=14 : 800,0x320
j=15 : 194,0x0c2
j=16 : 302,0x12e
j=17 : 944,0x3b0
j=18 : 621,0x26d
j=19 : 698,0x2ba
j=20 : 571,0x23b
j=21 : 838,0x346
j=22 : 143,0x08f

