# DUT syndromes (J=22) at t=225000
j=1 : 902,0x386
j=2 : 293,0x125
j=3 : 48,0x030
j=4 : 835,0x343
j=5 : 632,0x278
j=6 : 586,0x24a
j=7 : 792,0x318
j=8 : 290,0x122
j=9 : 636,0x27c
j=10 : 475,0x1db
j=11 : 228,0x0e4
j=12 : 690,0x2b2
j=13 : 282,0x11a
j=14 : 153,0x099
j=15 : 895,0x37f
j=16 : 244,0x0f4
j=17 : 173,0x0ad
j=18 : 824,0x338
j=19 : 238,0x0ee
j=20 : 296,0x128
j=21 : 583,0x247
j=22 : 858,0x35a

