# DUT syndromes (J=22) at t=225000
j=1 : 353,0x161
j=2 : 171,0x0ab
j=3 : 705,0x2c1
j=4 : 6,0x006
j=5 : 597,0x255
j=6 : 454,0x1c6
j=7 : 36,0x024
j=8 : 12,0x00c
j=9 : 731,0x2db
j=10 : 577,0x241
j=11 : 619,0x26b
j=12 : 531,0x213
j=13 : 298,0x12a
j=14 : 636,0x27c
j=15 : 71,0x047
j=16 : 998,0x3e6
j=17 : 1009,0x3f1
j=18 : 660,0x294
j=19 : 247,0x0f7
j=20 : 1011,0x3f3
j=21 : 530,0x212
j=22 : 841,0x349

