# DUT syndromes (J=22) at t=225000
j=1 : 592,0x250
j=2 : 1021,0x3fd
j=3 : 348,0x15c
j=4 : 722,0x2d2
j=5 : 331,0x14b
j=6 : 817,0x331
j=7 : 676,0x2a4
j=8 : 511,0x1ff
j=9 : 389,0x185
j=10 : 36,0x024
j=11 : 73,0x049
j=12 : 205,0x0cd
j=13 : 727,0x2d7
j=14 : 274,0x112
j=15 : 829,0x33d
j=16 : 607,0x25f
j=17 : 329,0x149
j=18 : 268,0x10c
j=19 : 953,0x3b9
j=20 : 878,0x36e
j=21 : 217,0x0d9
j=22 : 787,0x313

